date,Forecast_Harga,Lower95,Upper95
2025-11-01,12669.410669828578,NA,NA
2025-12-01,12681.476666685074,NA,NA
2026-01-01,12693.944602592217,NA,NA
2026-02-01,12693.466995051589,NA,NA
2026-03-01,12689.070203531972,NA,NA
2026-04-01,12678.150399239408,NA,NA
2026-05-01,12670.78711918071,NA,NA
2026-06-01,12661.230962080432,NA,NA
2026-07-01,12640.115960866891,NA,NA
2026-08-01,12604.818813852837,NA,NA
2026-09-01,12563.208132660728,NA,NA
2026-10-01,12524.598375153673,NA,NA
