Tanggal,Bulan,Log_Harga,Upper_Fence,Lower_Fence
2013-01-01,1,8.948633991055846,9.30506761909417,9.013219621335939
2013-02-01,2,8.941813658564143,9.298769807065694,9.015016193000589
2013-03-01,3,8.92309420450402,9.285483816252308,8.983600519118637
2013-04-01,4,8.894390503575499,9.218872993394912,8.968673672598884
2013-05-01,5,8.890370617274396,9.209548473567798,8.9795562951194
2013-06-01,6,8.911884469689003,9.1974500914229,8.99520085266848
2013-07-01,7,8.929771606528108,9.212662042718835,8.985395778840628
2013-08-01,8,8.925857177653802,9.218165313101498,8.9978303521569
2013-09-01,9,8.942836019863083,9.212757200326493,9.029130407031552
2013-10-01,10,8.949241806174088,9.231372411382996,9.023962516923735
2013-11-01,11,8.95318362482328,9.246486775568446,9.030865601970103
2013-12-01,12,8.970967078005064,9.271049352211072,9.022784290399876
2014-01-01,1,8.99075049886127,9.30506761909417,9.013219621335939
2014-02-01,2,9.003195654070769,9.298769807065694,9.015016193000589
2014-04-01,4,8.965745885652714,9.218872993394912,8.968673672598884
2014-05-01,5,8.962617201687582,9.209548473567798,8.9795562951194
2014-06-01,6,8.961504583613511,9.1974500914229,8.99520085266848
2014-07-01,7,8.979542601725113,9.212662042718835,8.985395778840628
2014-08-01,8,8.988393604230742,9.218165313101498,8.9978303521569
2014-09-01,9,9.002815462186177,9.212757200326493,9.029130407031552
2014-10-01,10,9.002865916676546,9.231372411382996,9.023962516923735
2023-02-01,2,9.332625259075973,9.298769807065694,9.015016193000589
2023-03-01,3,9.31666961826294,9.285483816252308,8.983600519118637
2023-04-01,4,9.310173942170811,9.218872993394912,8.968673672598884
2023-05-01,5,9.306155878626843,9.209548473567798,8.9795562951194
2023-06-01,6,9.312889740058603,9.1974500914229,8.99520085266848
2023-07-01,7,9.31655272471776,9.212662042718835,8.985395778840628
2023-08-01,8,9.34792254908389,9.218165313101498,8.9978303521569
2023-09-01,9,9.448203851607028,9.212757200326493,9.029130407031552
2023-10-01,10,9.473593472081449,9.231372411382996,9.023962516923735
2023-11-01,11,9.469584388915115,9.246486775568446,9.030865601970103
2023-12-01,12,9.478128362949978,9.271049352211072,9.022784290399876
